entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,codigo_pci,id_del_proceso,referencia_del_proceso,ppi,id_del_portafolio,nombre_del_procedimiento,descripci_n_del_procedimiento,fase,fecha_de_publicacion_del,fecha_de_ultima_publicaci,fecha_de_publicacion_fase,fecha_de_publicacion_fase_1,fecha_de_publicacion,fecha_de_publicacion_fase_2,fecha_de_publicacion_fase_3,precio_base,modalidad_de_contratacion,justificaci_n_modalidad_de,duracion,unidad_de_duracion,fecha_de_recepcion_de,fecha_de_apertura_de_respuesta,fecha_de_apertura_efectiva,ciudad_de_la_unidad_de,nombre_de_la_unidad_de,proveedores_invitados,proveedores_con_invitacion,visualizaciones_del,proveedores_que_manifestaron,respuestas_al_procedimiento,respuestas_externas,conteo_de_respuestas_a_ofertas,proveedores_unicos_con,numero_de_lotes,estado_del_procedimiento,id_estado_del_procedimiento,adjudicado,id_adjudicacion,codigoproveedor,departamento_proveedor,ciudad_proveedor,fecha_adjudicacion,valor_total_adjudicacion,nombre_del_adjudicador,nombre_del_proveedor,nit_del_proveedor_adjudicado,codigo_principal_de_categoria,estado_de_apertura_del_proceso,tipo_de_contrato,subtipo_de_contrato,categorias_adicionales,urlproceso,codigo_entidad,estado_resumen
INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES,800150861,Distrito Capital de Bogotá,No Definido,Nacional,Centralizada,CO1.REQ.1778672,MIC-0001-DRNO-2021,701870321,CO1.BDOS.1728595,CONTRATAR LA PRESTACIÓN DEL SERVICIO DE PARQUEADERO PARA EL VEHÍCULO AUTOMOTOR DE LA REGIONAL NOROCCIDENTE; ADSCRITO A LA DIRECCIÓN SECCIONAL CHOCÓ,": CONTRATAR LA PRESTACIÓN DEL SERVICIO DE PARQUEADERO PARA EL VEHÍCULO AUTOMOTOR DE LA REGIONAL NOROCCIDENTE, ADSCRITO A LA DIRECCIÓN SECCIONAL CHOCÓ DEL INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES.",Fase de ofertas,2021-02-03T00:00:00.000,2021-02-03T00:00:00.000,,,,,2021-02-03T00:00:00.000,2108333,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,0,día(s),2021-02-09T00:00:00.000,2021-02-09T00:00:00.000,2021-02-09T00:00:00.000,Medellín,REGIONAL NOROCCIDENTE,0,0,5,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.948910,703997171,No Definido,No Definido,2021-02-11T00:00:00.000,2108333,ANA MILENA VILLADA PALACIO,LEONEL DE JESUS RESTREPO BUSTAMANTE,No Definido,V1.78181703,Cerrado,Prestación de servicios,No Definido,V171161202,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1730019,701870321,Adjudicado
DIRECCION DISTRITAL DE LIQUIDACIONES,802024911,Atlántico,Barranquilla,Territorial,Centralizada,CO1.REQ.5716600,019-2024,711760322,CO1.BDOS.5554255,ISRAEL BERMUDEZ RIVERA,"PRESTACIÓN DE SERVICIOS PROFESIONALES AL ÁREA DE TIC's DE LA DIRECCIÓN DISTRITAL DE LIQUIDACIONES EN EL CONTROL, VIGILANCIA Y CUIDADO DEL CORRECTO FUNCIONAMIENTO TECNOLOGICO DE LA ENTIDAD",Presentación de oferta,2024-02-07T00:00:00.000,2024-02-07T00:00:00.000,,,,,2024-02-07T00:00:00.000,25300000,Contratación directa,Servicios profesionales y apoyo a la gestión,11,Mes(es),,,,No Aplica,UNIDAD DE CONTRATACION DDL,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.81111811,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5606896,711760322,Presentación de oferta
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,890904996,Antioquia,Medellín,Territorial,Centralizada,CO1.REQ.3575537,2711162,705911287,CO1.BDOS.3483846,camisa representacion epm masculino talla 36,No definido,Presentación de oferta,2022-11-04T00:00:00.000,2022-11-04T00:00:00.000,,,,,2022-11-04T00:00:00.000,150000,Contratación régimen especial,Regla aplicable,0,día(s),,,,Medellín,Unidad Compras Operativas,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.53101602,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3489671,705911287,Presentación de oferta
SUPERINTENDENCIA DE LA ECONOMIA SOLIDARIA,830053043,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.347086,PS-209-2018,700519259,CO1.BDOS.339191,MARCEL HENRIQUE PAREJA VELASQUEZ,"PRESTACIÓN DE SERVICIOS PROFESIONALES PARA REALIZAR LOS ANÁLISIS E INFORMES DE EVALUACIÓN FINANCIERA EXTRASITU EN LA LABOR DE SUPERVISIÓN FINANCIERA EJERCIDA POR LA DELEGATURA PARA LA SUPERVISIÓN DEL AHORRO Y LA FORMA ASOCIATIVA SOLIDARIA, A LAS ORGANIZACIONES SOLIDARIAS VIGILADAS POR LA SUPERINTENDENCIA DE LA ECONOMÍA SOLIDARIA.",Presentación de oferta,2018-01-29T00:00:00.000,2018-01-29T00:00:00.000,,,,,2018-01-29T00:00:00.000,25368000,Contratación directa,Servicios profesionales y apoyo a la gestión,180,día(s),,,,No Aplica,UNIDAD DE CONTRATACION ASOCIATIVA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111605,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.336056,700519259,Presentación de oferta
RED DE SALUD DE LADERA EMPRESA SOCIAL DEL ESTADO,805027289,Valle del Cauca,Cali,Territorial,Descentralizada,CO1.REQ.2494330,RSL-07-2021,704483148,CO1.BDOS.2392909,PROCESO COMPRAS FIN DEAÑO,"INVITACIÓN No. RSL 07-2021 PARA OFERTAR EL SUMINISTRO DE MEDICAMENTOS, INSUMOS MEDICO QUIRÚRGICOS y ODONTOLOGICOS PARA LA ATENCION DE USUARIOS; Y DE PAPELERIA PARA LA RED DE SALUD LADERA E.S.E PARA EL MES DE DICIEMBRE DEL AÑO 2021",Fase de ofertas,2021-12-01T00:00:00.000,2021-12-01T00:00:00.000,,,,,2021-12-01T00:00:00.000,132708149,Contratación régimen especial (con ofertas),Regla aplicable,30,día(s),2021-12-13T00:00:00.000,2021-12-13T00:00:00.000,2021-12-13T00:00:00.000,Cali,GRUPO DE COMPRAS E.S.E LADERA,0,0,26,0,7,0,0,7,0,Seleccionado,70,Si,CO1.AWD.1201801,700954209,Distrito Capital de Bogotá,Bogotá,2021-12-17T00:00:00.000,7469899,DIANA LUCELLY ROSALES VALENCIA,DISTRIBUIDORA COLOMBIANA DE MEDICAMENTOS  Y TECNOLOGIAS EN SALUD SAS - DISCOLMETS S.A.S,828002423,V1.42152405,Cerrado,Otro,No Definido,"V114111504, V142131606, V142132203, V142151902, V142151903, V142151904, V142151905, V142151909, V142151910, V142151912, V142152001, V142152006, V142152010, V142152406, V142152407, V142152408, V142312200, V142312300, V142312400, V142312500, V142312600, V142312700, V144102412, V151101500, V151101504, V151101600, V151101700, V151101800, V151102000, V151102200, V151102300, V151102400, V151121500, V151121600, V151121700, V151121900, V151122100, V151122200, V151122300, V151141500, V151141600, V1511417",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2431405,704483148,Fase de ofertas
ALCALDIA DE MOCOA,800102891,No Definido,No Definido,Territorial,Centralizada,CO1.REQ.4688767,SAMC-003 DE 2023 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),706013752,CO1.BDOS.4488366,MODERNIZACIÓN DE COMPONENTES ELECTRÓNICOS Y MOBILIARIO DE 3 INTERSECCIONES SEMAFÓRICAS EN EL MUNICIPIO DE MOCOA (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MODERNIZACIÓN DE COMPONENTES ELECTRÓNICOS Y MOBILIARIO DE 3 INTERSECCIONES SEMAFÓRICAS EN EL MUNICIPIO DE MOCOA,Presentación de oferta,2023-06-16T00:00:00.000,2023-06-16T00:00:00.000,,,,,2023-06-16T00:00:00.000,159890000,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,45,día(s),2023-06-23T00:00:00.000,2023-06-23T00:00:00.000,2023-06-26T00:00:00.000,Mocoa,UNIDAD OFICINA DE CONTRATACION,5,5,21,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1655120,710280967,No Definido,No Definido,2023-07-12T00:00:00.000,159140000,MARIA CAMILA BEDOYA CAICEDO,JUAN CARLOS ORDOÑEZ VITERI,No Definido,UNSPECIFIED,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4591003,706013752,Adjudicado
DEPARTAMENTO DE SANTANDER,890201235,Santander,Bucaramanga,Territorial,Centralizada,CO1.REQ.8885718,AG-SIP-25-12,701515082,CO1.BDOS.8727786,APOYO PARA EL FORTALECIMIENTO DE LOS ACTIVOS PRODUCTIVOS RURALES DEL DEPARTAMENTO DE SANTANDER,APOYO PARA EL FORTALECIMIENTO DE LOS ACTIVOS PRODUCTIVOS RURALES DEL DEPARTAMENTO DE SANTANDER,Estimate Phase,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,,,,,2025-09-09T00:00:00.000,0,Solicitud de información a los Proveedores,No Defenido,30,día(s),2025-09-10T00:00:00.000,,2025-09-09T00:00:00.000,Bucaramanga,SECRETARIA DE AGRICULTURA,4456,0,7,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80101600,Abierto,No Especificado,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8751542,701515082,Estimate Phase
ESE CAIMITO//,823001943,No Definido,No Definido,Territorial,Centralizada,CO1.REQ.6743490,ESECAI-187-05-2024,720599315,CO1.BDOS.6616196,DROGUERIA INTERCONTINENTAL SAN MARCOS,SUMINISTRO DE MEDICAMENTOS Y MATERIAL MEDICO QUIRURGICO PARA USO DE LA ESE CENTRO DE SALUD CAIMITO,Presentación de oferta,2024-08-29T00:00:00.000,2024-08-29T00:00:00.000,,,,,2024-08-29T00:00:00.000,29845330,Contratación régimen especial,Regla aplicable,1,Mes(es),,,,Caimito,ESE CENTRO DE SALUD CAIMITO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.51101500,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6625709,720599315,Presentación de oferta
BATALLON DE A.S.P.C No 17 CLARA ELISA NARVAEZ ARTEAGA,830054053,Antioquia,Carepa,Nacional,Centralizada,CO1.REQ.367103,MC-034-BASPC17-2018,702942137,CO1.BDOS.358102,SUMINISTRO PRODUCTOS DE ASEO Y LIMPIEZA,CONTRATAR EL SUMINISTRO DE  PRODUCTOS DE ASEO Y LIMPIEZA PARA EL FUNCIONAMIENTO DE LAS UNIDADES CENTRALIZADAS POR EL BATALLÓN DE APOYO Y SERVICIOS PARA EL COMBATE No. 17 CLARA ELISA NARVÁEZ ARTEAGA (BASPC17) DE LA DÉCIMA SÉPTIMA BRIGADA EN LOS MUNICIPIOS DE CAREPA Y SAN PEDRO DE URABÁ (ANT),Presentación de oferta,2018-02-21T00:00:00.000,2018-02-21T00:00:00.000,,,,,2018-02-21T00:00:00.000,54499337,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,10,Mes(es),2018-02-23T00:00:00.000,2018-02-23T00:00:00.000,2018-02-27T00:00:00.000,Carepa,UNIDAD DE CONTRATACION DUPLA 1,0,0,23,0,3,1,0,2,0,Seleccionado,70,Si,CO1.AWD.248039,702811563,No Definido,No Definido,2018-03-06T00:00:00.000,54499600,GUSTAVO PINEDA CARMONA,ECCOSUMINISTROS MARIN S.A.S,No Definido,V1.47131800,Cerrado,Suministros,No Definido,"V147121800, V147131500, V147131600, V147131700, V147131900, V147132100",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.354043,702942137,Adjudicado
UNIVERSIDAD MILITAR NUEVA GRANADA**,800225340,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.9264724,DIVTAH-OPS-1774-2025,701723561,CO1.BDOS.9099608,El contratista se compromete con la Universidad Militar Nueva Granada a prestar por sus propios  medios; con plena autonomía; sus servicios como Capacitador Magister en el marco del  diplomado en Mark,"El contratista se compromete con la Universidad Militar Nueva Granada a prestar por sus propios 
medios, con plena autonomía, sus servicios como Capacitador Magister en el marco del 
diplomado en Marketing y Negocios Digitales, en concordancia con del Contrato 002 suscrito 
entre la Corporación General Gustavo Matamoros D ¿Costa y la Universidad Militar Nueva 
Granada, según Resolución No 425/2025., 60 horas",Presentación de oferta,2025-11-13T00:00:00.000,2025-11-13T00:00:00.000,,,,,2025-11-13T00:00:00.000,8820000,Contratación régimen especial,Decreto 092 de 2017,24,día(s),,,,No Aplica,UNIDAD DE CONTRATACION DIVISION DE GESTION DE TALENTO HUMANO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9125102,701723561,Presentación de oferta
